T [K];Specific Heat [J/(kg*K)]
100.00;472.792
150.00;661.072
200.00;786.592
250.00;836.8
273.15;857.72
293.00;870.272
300.00;874.456
350.00;903.744
400.00;924.664
450.00;945.584
500.00;974.872
550.00;1008.344
600.00;1041.816
650.00;1079.472
700.00;1125.496
750.00;1171.52
775.00;1196.624
911.00;1255.2
1000.00;1255.2
1100.00;1255.2
1200.00;1255.2
