T [K];Conductivity [W/(m*K)]
255.56;0.59
422.22;0.81
533.33;0.88
811.11;1.11
1088.89;1.35
1366.67;1.62
1644.44;1.81
1922.22;2.28
2777.78;2.84
3888.89;2.84
