T [K];Specific Heat [J/(kg*K)]
255.5555556;732.69
298;782.9316
444.4444444;1092.7548
555.5555556;1318.842
644.4444444;1431.8856
833.3333333;1674.72
1111.111111;1842.192
1388.888889;1967.796
1666.666667;2051.532
1944.444444;2093.4
2222.222222;2110.1472
2777.777778;2135.268
3333.333333;2152.0152
