T [K];Conductivity [W/(m*K)]
255.5555556;0.397515138
298;0.402499654
444.4444444;0.416207073
555.5555556;0.452967877
644.4444444;0.469790618
833.3333333;0.485990294
1111.111111;0.523374163
1388.888889;0.560134968
1666.666667;0.697832218
1944.444444;0.872290272
2222.222222;1.109054774
2777.777778;1.750811189
3333.333333;2.778867581
