T [K];Specific Heat [J/(kg*K)]
222.22;1448.702
527.78;1934.394
833.39;2340.533
1650.61;2466.143
2467.83;2466.143
2608.17;2466.143
2748.56;2466.143
2888.89;2466.143
3333.33;2466.143
;
