;A;B;C
Virgin Density [kg/m^3];228.285;973.215;160.2
Char Density [kg/m^3];0;792.99;160.2
Pre-exponential factor [kg/(m^3*s)];3.20E+06;2.77E+10;0.00E+00
Reaction order;3.00E+00;3.00E+00;0.00E+00
Scaled Activation Energy [K];8.56E+03;2.04E+04;0.00E+00
Minimum reaction temperature [K];555.56;333.33;50000.00
Fraction;0.0646;0.0646;0.9354
;;;
;;;
;;;
;;;
