T [K];Specific Heat [J/(kg*K)]
255.56;1004.88
422.22;1507.32
533.33;2009.76
811.11;2093.5
1088.89;2093.5
1366.67;2093.5
1644.44;2093.5
1922.22;2093.5
2777.78;2093.5
3888.89;2093.5
