T [K];Conductivity [W/(m*K)]
222.22;0.093
888.89;0.094
1000.00;0.102
1111.11;0.113
1222.22;0.128
1333.33;0.150
1444.44;0.172
1555.56;0.197
1666.67;0.225
1777.78;0.256
1888.89;0.293
2000.00;0.338
